,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.0,7.6,0.0,0.0,0.0,7.6,0.0,0.0,0.0,58.015,2.584,437760.0,175104.0
1,603998,方盛制药,0.0,10.23,0.0,0.0,0.0,10.23,0.0,0.0,0.0,73.071,4.373,440848.00881,434976.24456
2,603997,继峰股份,0.0,11.65,0.0,0.0,0.0,11.65,0.0,0.0,0.0,25.326,4.112,742942.868,733950.0
3,603996,中新科技,0.0,19.48,0.0,0.0,0.0,19.48,0.0,0.0,0.0,39.755,3.873,584692.2,201179.7
4,603993,洛阳钼业,0.0,8.27,0.0,0.0,0.0,8.27,0.0,0.0,0.0,59.071,4.59,17862571.962141,10712735.288073
5,603991,至正股份,0.0,27.74,0.0,0.0,0.0,27.74,0.0,0.0,0.0,51.37,4.418,206760.084452,113952.918532
6,603990,麦迪科技,0.0,38.82,0.0,0.0,0.0,38.82,0.0,0.0,0.0,60.656,7.325,314141.5332,233975.904
7,603989,艾华集团,0.0,36.99,0.0,0.0,0.0,36.99,0.0,0.0,0.0,38.134,5.408,1109700.0,1109700.0
8,603988,DR中电电,0.0,20.94,0.0,0.0,0.0,20.94,0.0,0.0,0.0,74.786,3.73,251280.0,251280.0
9,603987,康德莱,0.0,12.72,0.0,0.0,0.0,12.72,0.0,0.0,0.0,33.474,3.197,401233.32,241770.8844
10,603986,兆易创新,0.0,131.35,0.0,0.0,0.0,131.35,0.0,0.0,0.0,66.005,15.562,3727077.63378,2709533.64115
11,603985,恒润股份,0.0,33.24,0.0,0.0,0.0,33.24,0.0,0.0,0.0,26.266,2.578,265920.0,170188.8
12,603980,吉华集团,0.0,19.45,0.0,0.0,0.0,19.45,0.0,0.0,0.0,22.027,2.376,972500.0,194500.0
13,603979,金诚信,0.0,10.62,0.0,0.0,0.0,10.62,0.0,0.0,0.0,30.343,1.6,621270.0,258236.25984
14,603978,深圳新星,0.0,44.23,0.0,0.0,0.0,44.23,0.0,0.0,0.0,28.172,2.617,707680.0,176920.0
15,603977,国泰集团,0.0,10.19,0.0,0.0,0.0,10.19,0.0,0.0,0.0,32.871,2.351,315392.728,179295.088
16,603976,正川股份,0.0,29.49,0.0,0.0,0.0,29.49,0.0,0.0,0.0,32.407,3.267,318492.0,79623.0
17,603970,中农立华,0.0,27.17,0.0,0.0,0.0,27.17,0.0,0.0,0.0,30.914,4.491,362266.8478,90566.8478
18,603969,银龙股份,0.0,8.68,0.0,0.0,0.0,8.68,0.0,0.0,0.0,28.933,2.125,503440.0,503440.0
19,603968,醋化股份,0.0,20.37,0.0,0.0,0.0,20.37,0.0,0.0,0.0,25.785,3.017,416525.76,416525.76
20,603966,法兰泰克,0.0,16.55,0.0,0.0,0.0,16.55,0.0,0.0,0.0,40.366,3.215,264800.0,118382.2824
21,603963,大理药业,0.0,32.99,0.0,0.0,0.0,32.99,0.0,0.0,0.0,59.982,6.9879999999999995,329900.0,82475.0
22,603960,克来机电,0.0,37.92,0.0,0.0,0.0,37.92,0.0,0.0,0.0,74.353,8.676,394368.0,151121.199504
23,603959,百利科技,0.0,30.94,0.0,0.0,0.0,30.94,0.0,0.0,0.0,64.458,7.025,693056.0,329201.6
24,603958,哈森股份,0.0,14.49,0.0,0.0,0.0,14.49,0.0,0.0,0.0,173.325,2.6950000000000003,318644.73585,95632.545204
25,603955,大千生态,0.0,34.58,0.0,0.0,0.0,34.58,0.0,0.0,0.0,36.002,2.877,300846.0,189711.765516
26,603939,益丰药房,0.0,60.02,0.0,0.0,0.0,60.02,0.0,0.0,0.0,69.468,6.661,2176893.337316,2176893.337316
27,603938,三孚股份,0.0,33.63,0.0,0.0,0.0,33.63,0.0,0.0,0.0,30.853,4.945,505010.2758,126302.8458
28,603937,丽岛新材,0.0,22.72,0.0,0.0,0.0,22.72,0.0,0.0,0.0,39.172,3.832,474575.36,118643.84
29,603936,博敏电子,0.0,23.4,0.0,0.0,0.0,23.4,0.0,0.0,0.0,60.0,3.892,391599.0,131274.0
30,603933,睿能科技,0.0,28.26,0.0,0.0,0.0,28.26,0.0,0.0,0.0,17.965,2.898,406203.588,101560.788
31,603929,亚翔集成,0.0,25.96,0.0,0.0,0.0,25.96,0.0,0.0,0.0,43.267,5.424,553882.56,250669.76
32,603928,兴业股份,0.0,21.8,0.0,0.0,0.0,21.8,0.0,0.0,0.0,32.537,3.752,439488.0,136841.87
33,603926,铁流股份,0.0,22.23,0.0,0.0,0.0,22.23,0.0,0.0,0.0,21.794,2.535,266760.0,144700.676406
34,603922,金鸿顺,0.0,25.92,0.0,0.0,0.0,25.92,0.0,0.0,0.0,29.793,2.912,331776.0,82944.0
35,603920,世运电路,0.0,16.03,0.0,0.0,0.0,16.03,0.0,0.0,0.0,32.714,2.723,644085.4,205520.658854
36,603919,金徽酒,0.0,17.22,0.0,0.0,0.0,17.22,0.0,0.0,0.0,24.957,3.217,626808.0,199473.8109
37,603918,金桥信息,0.0,17.49,0.0,0.0,0.0,17.49,0.0,0.0,0.0,87.45,6.039,310884.75,215728.656
38,603917,合力科技,0.0,25.88,0.0,0.0,0.0,25.88,0.0,0.0,0.0,27.326,3.441,289856.0,72464.0
39,603916,苏博特,0.0,16.43,0.0,0.0,0.0,16.43,0.0,0.0,0.0,28.825,2.624,499472.0,124868.0
40,603912,佳力图,0.0,27.91,0.0,0.0,0.0,27.91,0.0,0.0,0.0,39.871,6.487,419487.3,103267.0
41,603909,合诚股份,0.0,31.32,0.0,0.0,0.0,31.32,0.0,0.0,0.0,50.329,5.045,321030.0,78300.0
42,603908,牧高笛,0.0,32.98,0.0,0.0,0.0,32.98,0.0,0.0,0.0,41.225,4.728,219943.62,76016.60789
43,603906,龙蟠科技,0.0,16.44,0.0,0.0,0.0,16.44,0.0,0.0,0.0,37.364,2.791,348067.68,127855.8528
44,603903,中持股份,0.0,37.38,0.0,0.0,0.0,37.38,0.0,0.0,0.0,57.508,5.31,386269.968,275863.188888
45,603901,永创智能,0.0,9.11,0.0,0.0,0.0,9.11,0.0,0.0,0.0,56.938,3.803,364400.0,140294.0
46,603900,莱绅通灵,0.0,25.39,0.0,0.0,0.0,25.39,0.0,0.0,0.0,27.737,3.604,864463.07976,216115.76994
47,603899,晨光文具,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,46.431,9.689,2944000.0,2944000.0
48,603898,好莱客,0.0,29.73,0.0,0.0,0.0,29.73,0.0,0.0,0.0,25.852,4.532,952410.319278,264608.892
49,603897,长城科技,0.0,46.82,0.0,0.0,0.0,46.82,0.0,0.0,0.0,35.203,7.47,835268.8,208817.2
50,603896,寿仙谷,0.0,49.35,0.0,0.0,0.0,49.35,0.0,0.0,0.0,69.507,7.616,689913.0,301313.8275
51,603895,天永智能,0.0,54.44,0.0,0.0,0.0,54.44,0.0,0.0,0.0,50.831,6.699,420276.8,105069.2
