rule,totalCount,totalCountP,dateCount,dateCountP,d1cMean,d2cMean,d3cMean,d4cMean,d5cMean,d6cMean,d1hMean,d2hMean,d3hMean,d4hMean,d5hMean,d6hMean,day1cip,day1hip,day2cip,day2hip,day3cip,day3hip,day4cip,day4hip,day5cip,day5hip,day6cip,day6hip
rule+1+10,43465,1.18,711,41.099999999999994,0.81,1.21,1.53,1.8,2.05,2.22,3.25,3.73,4.17,4.51,4.79,5.0,62.0,100.0,60.0,78.0,57.99999999999999,72.0,56.99999999999999,70.0,57.99999999999999,68.0,57.99999999999999,68.0
rule-2+10,3652260,98.99,1724,99.65,0.21,0.25,0.28,0.3,0.33,0.37,2.22,2.29,2.34,2.39,2.43,2.48,61.0,100.0,59.0,88.0,59.0,82.0,59.0,78.0,59.0,76.0,59.0,75.0
rule-3+10,2561621,69.43,1724,99.65,0.23,0.29,0.34,0.38,0.43,0.45,2.2,2.3,2.38,2.45,2.52,2.57,61.0,100.0,59.0,88.0,59.0,82.0,60.0,78.0,60.0,75.0,59.0,74.0
rule+4+10,1680067,45.53,1719,99.36,0.27,0.2,0.17,0.12,0.05,0.05,2.44,2.43,2.38,2.34,2.28,2.26,61.0,100.0,56.99999999999999,90.0,56.00000000000001,83.0,56.00000000000001,78.0,55.00000000000001,75.0,56.00000000000001,73.0
rule-5+10,3795494,102.86999999999999,1724,99.65,0.2,0.25,0.29,0.33,0.37,0.4,2.2,2.27,2.34,2.4,2.46,2.51,60.0,100.0,59.0,88.0,59.0,82.0,59.0,78.0,59.0,76.0,59.0,75.0
rule-6+10,2939916,79.67999999999999,1724,99.65,0.18,0.22,0.25,0.26,0.3,0.34,2.2,2.26,2.32,2.35,2.4,2.46,60.0,100.0,57.99999999999999,88.0,57.99999999999999,82.0,57.99999999999999,77.0,59.0,76.0,57.99999999999999,74.0
rule+7+10,277508,7.5200000000000005,1592,92.02,0.25,0.38,0.39,0.3,0.21,0.18,1.88,2.11,2.21,2.18,2.09,2.05,56.99999999999999,100.0,57.99999999999999,82.0,56.99999999999999,76.0,56.00000000000001,73.0,55.00000000000001,70.0,55.00000000000001,68.0
rule+10-11,1953903,52.959999999999994,1724,99.65,0.25,0.36,0.43,0.47,0.49,0.49,2.08,2.25,2.37,2.45,2.5,2.54,62.0,100.0,61.0,87.0,60.0,82.0,60.0,78.0,60.0,75.0,59.0,74.0
rule+1-2+10,19689,0.53,458,26.47,0.79,1.13,1.37,1.65,1.85,2.16,3.53,3.99,4.37,4.71,4.88,5.13,62.0,100.0,59.0,77.0,56.00000000000001,72.0,56.99999999999999,70.0,60.0,69.0,57.99999999999999,69.0
rule+1-3+10,33135,0.8999999999999999,607,35.089999999999996,0.77,0.93,0.99,1.03,1.1,1.09,3.3,3.48,3.64,3.74,3.88,3.88,64.0,100.0,60.0,78.0,56.99999999999999,72.0,56.00000000000001,69.0,56.99999999999999,67.0,56.00000000000001,66.0
rule+1+4+10,20663,0.5599999999999999,572,33.06,0.75,1.55,2.13,2.58,2.92,3.21,3.19,4.1,4.78,5.32,5.75,6.09,61.0,100.0,62.0,78.0,59.0,73.0,60.0,72.0,61.0,71.0,62.0,72.0
rule+1-5+10,41968,1.1400000000000001,700,40.46,0.82,1.23,1.58,1.86,2.11,2.27,3.25,3.75,4.2,4.58,4.86,5.07,62.0,100.0,60.0,78.0,57.99999999999999,72.0,57.99999999999999,70.0,57.99999999999999,68.0,57.99999999999999,69.0
rule+1-6+10,36015,0.98,654,37.8,0.83,1.16,1.35,1.52,1.75,1.91,3.29,3.69,4.03,4.26,4.51,4.75,63.0,100.0,59.0,77.0,56.00000000000001,70.0,56.99999999999999,69.0,56.99999999999999,68.0,56.00000000000001,67.0
rule+1+7+10,11899,0.32,389,22.49,0.85,2.06,3.0,3.5,3.78,4.11,3.15,4.6,5.72,6.44,6.75,7.13,64.0,100.0,65.0,82.0,65.0,78.0,62.0,74.0,63.0,71.0,62.0,72.0
rule+1+10-11,38020,1.03,650,37.57,0.8,1.18,1.41,1.57,1.75,1.87,3.18,3.65,4.03,4.24,4.48,4.62,64.0,100.0,61.0,79.0,57.99999999999999,73.0,57.99999999999999,70.0,57.99999999999999,68.0,57.99999999999999,68.0
rule-2-3+10,2381879,64.56,1724,99.65,0.23,0.28,0.31,0.34,0.39,0.4,2.21,2.3,2.37,2.42,2.48,2.53,61.0,100.0,59.0,88.0,59.0,81.0,60.0,78.0,59.0,75.0,59.0,75.0
rule-2+4+10,1598063,43.309999999999995,1719,99.36,0.27,0.2,0.16,0.1,0.02,0.01,2.45,2.44,2.38,2.33,2.25,2.23,61.0,100.0,56.99999999999999,90.0,56.00000000000001,83.0,56.00000000000001,78.0,55.00000000000001,75.0,55.00000000000001,73.0
rule-2-5+10,3596890,97.49,1724,99.65,0.21,0.24,0.27,0.3,0.33,0.37,2.21,2.28,2.34,2.39,2.43,2.48,60.0,100.0,59.0,88.0,59.0,82.0,59.0,78.0,59.0,76.0,59.0,75.0
rule-2-6+10,2793892,75.72,1724,99.65,0.18,0.21,0.23,0.23,0.27,0.3,2.21,2.27,2.31,2.33,2.37,2.42,60.0,100.0,57.99999999999999,88.0,59.0,82.0,57.99999999999999,78.0,59.0,76.0,57.99999999999999,74.0
